_________________________________________________________________
|---N of Coord--|-------x-------|-------y-------|-------z-------|
|            619|        133.588|       -52.9966|              0|
|            620|        161.957|       -52.9966|              0|
|            621|            196|       -52.9966|              0|
|            622|        236.851|       -52.9966|              0|
|            623|        285.873|       -52.9966|              0|
|            624|        344.699|       -52.9966|              0|
|            625|         415.29|       -52.9966|              0|
|            626|            500|       -52.9966|              0|
|            627|           -500|       -42.2426|              0|
|            628|       -399.845|       -42.2426|              0|
|            629|       -319.722|       -42.2426|              0|
|            630|       -255.623|       -42.2426|              0|
|            631|       -204.343|       -42.2426|              0|
|            632|        -163.32|       -42.2426|              0|
|            633|       -130.501|       -42.2426|              0|
|            634|       -104.246|       -42.2426|              0|
|            635|       -83.2423|       -42.2426|              0|
|            636|       -66.4392|       -42.2426|              0|
|            637|       -52.9966|       -42.2426|              0|
|            638|       -42.2426|       -42.2426|              0|
|            639|       -33.6394|       -42.2426|              0|
|            640|       -26.7568|       -42.2426|              0|
|            641|       -21.2507|       -42.2426|              0|
|            642|       -16.8459|       -42.2426|              0|
|            643|        -13.322|       -42.2426|              0|
|            644|       -10.5029|       -42.2426|              0|
|            645|       -8.24761|       -42.2426|              0|
|            646|       -6.44338|       -42.2426|              0|
|            647|             -5|       -42.2426|              0|
|            648|          -4.25|       -42.2426|              0|
|            649|           -3.5|       -42.2426|              0|
|            650|          -2.75|       -42.2426|              0|
|            651|             -2|       -42.2426|              0|
|            652|           -1.5|       -42.2426|              0|
|            653|             -1|       -42.2426|              0|
|            654|           -0.5|       -42.2426|              0|
|            655|              0|       -42.2426|              0|
|            656|            0.5|       -42.2426|              0|
|            657|              1|       -42.2426|              0|
|            658|            1.5|       -42.2426|              0|
|            659|              2|       -42.2426|              0|
|            660|           2.75|       -42.2426|              0|
|            661|            3.5|       -42.2426|              0|
|            662|           4.25|       -42.2426|              0|
|            663|              5|       -42.2426|              0|
|            664|        7.65148|       -42.2426|              0|
|            665|        10.8333|       -42.2426|              0|
|            666|        14.6514|       -42.2426|              0|
|            667|        19.2332|       -42.2426|              0|
|            668|        24.7313|       -42.2426|              0|
|            669|         31.329|       -42.2426|              0|
