Time 0
_________________________________________________________________
|-------x-------|-------y-------|-------z-------|---Solution----|
|              2|        -163.32|              0|       -137.989|
|           2.75|        -163.32|              0|       -137.976|
|            3.5|        -163.32|              0|       -137.959|
|           4.25|        -163.32|              0|       -137.938|
|              5|        -163.32|              0|       -137.913|
|        7.65148|        -163.32|              0|       -137.792|
|        10.8333|        -163.32|              0|        -137.58|
|        14.6514|        -163.32|              0|        -137.23|
|        19.2332|        -163.32|              0|       -136.675|
|        24.7313|        -163.32|              0|       -135.817|
|         31.329|        -163.32|              0|       -134.517|
|        39.2463|        -163.32|              0|       -132.584|
|         48.747|        -163.32|              0|       -129.759|
|        60.1479|        -163.32|              0|       -125.703|
|         73.829|        -163.32|              0|       -119.994|
|        90.2463|        -163.32|              0|       -112.147|
|        109.947|        -163.32|              0|       -101.658|
|        133.588|        -163.32|              0|       -88.0796|
|        161.957|        -163.32|              0|       -71.1172|
|            196|        -163.32|              0|       -50.6913|
|        236.851|        -163.32|              0|       -26.9341|
|        285.873|        -163.32|              0|     -0.0909135|
|        344.699|        -163.32|              0|        29.6802|
|         415.29|        -163.32|              0|        62.6338|
|            500|        -163.32|              0|            100|
|           -500|       -130.501|              0|            100|
|       -399.845|       -130.501|              0|        52.5009|
|       -319.722|       -130.501|              0|        10.9636|
|       -255.623|       -130.501|              0|       -26.5992|
|       -204.343|       -130.501|              0|        -60.382|
|        -163.32|       -130.501|              0|       -89.9199|
|       -130.501|       -130.501|              0|       -114.686|
|       -104.246|       -130.501|              0|        -134.46|
|       -83.2423|       -130.501|              0|       -149.478|
|       -66.4392|       -130.501|              0|        -160.38|
|       -52.9966|       -130.501|              0|           -168|
|       -42.2426|       -130.501|              0|       -173.174|
|       -33.6394|       -130.501|              0|       -176.612|
|       -26.7568|       -130.501|              0|       -178.862|
|       -21.2507|       -130.501|              0|       -180.319|
|       -16.8459|       -130.501|              0|       -181.254|
|        -13.322|       -130.501|              0|       -181.851|
|       -10.5029|       -130.501|              0|        -182.23|
|       -8.24761|       -130.501|              0|       -182.469|
|       -6.44338|       -130.501|              0|       -182.619|
|             -5|       -130.501|              0|       -182.713|
|          -4.25|       -130.501|              0|       -182.752|
|           -3.5|       -130.501|              0|       -182.785|
|          -2.75|       -130.501|              0|       -182.812|
|             -2|       -130.501|              0|       -182.832|
|           -1.5|       -130.501|              0|       -182.842|
|             -1|       -130.501|              0|       -182.849|
|           -0.5|       -130.501|              0|       -182.853|
|              0|       -130.501|              0|       -182.854|
|            0.5|       -130.501|              0|       -182.853|
|              1|       -130.501|              0|       -182.849|
|            1.5|       -130.501|              0|       -182.842|
|              2|       -130.501|              0|       -182.832|
|           2.75|       -130.501|              0|       -182.811|
|            3.5|       -130.501|              0|       -182.785|
|           4.25|       -130.501|              0|       -182.751|
|              5|       -130.501|              0|       -182.712|
|        7.65148|       -130.501|              0|       -182.521|
|        10.8333|       -130.501|              0|       -182.188|
|        14.6514|       -130.501|              0|       -181.639|
|        19.2332|       -130.501|              0|        -180.77|
|        24.7313|       -130.501|              0|        -179.43|
|         31.329|       -130.501|              0|       -177.414|
|        39.2463|       -130.501|              0|        -174.44|
|         48.747|       -130.501|              0|       -170.145|
|        60.1479|       -130.501|              0|       -164.079|
|         73.829|       -130.501|              0|       -155.732|
|        90.2463|       -130.501|              0|       -144.586|
|        109.947|       -130.501|              0|       -130.203|
|        133.588|       -130.501|              0|       -112.322|
|        161.957|       -130.501|              0|       -90.9219|
|            196|       -130.501|              0|       -66.2161|
|        236.851|       -130.501|              0|       -38.5611|
|        285.873|       -130.501|              0|       -8.30509|
|        344.699|       -130.501|              0|         24.421|
|         415.29|       -130.501|              0|        60.0178|
|            500|       -130.501|              0|            100|
|           -500|       -104.246|              0|            100|
|       -399.845|       -104.246|              0|        50.3964|
|       -319.722|       -104.246|              0|        6.60072|
|       -255.623|       -104.246|              0|        -33.731|
|       -204.343|       -104.246|              0|       -71.0053|
|        -163.32|       -104.246|              0|       -104.812|
|       -130.501|       -104.246|              0|        -134.46|
|       -104.246|       -104.246|              0|        -159.34|
|       -83.2423|       -104.246|              0|       -179.205|
|       -66.4392|       -104.246|              0|       -194.288|
|       -52.9966|       -104.246|              0|       -205.231|
|       -42.2426|       -104.246|              0|       -212.874|
|       -33.6394|       -104.246|              0|       -218.058|
|       -26.7568|       -104.246|              0|         -221.5|
|       -21.2507|       -104.246|              0|       -223.749|
|       -16.8459|       -104.246|              0|       -225.202|
|        -13.322|       -104.246|              0|       -226.134|
|       -10.5029|       -104.246|              0|       -226.726|
|       -8.24761|       -104.246|              0|       -227.101|
|       -6.44338|       -104.246|              0|       -227.337|
|             -5|       -104.246|              0|       -227.484|
|          -4.25|       -104.246|              0|       -227.546|
|           -3.5|       -104.246|              0|       -227.598|
|          -2.75|       -104.246|              0|       -227.639|
|             -2|       -104.246|              0|       -227.671|
|           -1.5|       -104.246|              0|       -227.687|
|             -1|       -104.246|              0|       -227.698|
|           -0.5|       -104.246|              0|       -227.705|
|              0|       -104.246|              0|       -227.707|
|            0.5|       -104.246|              0|       -227.704|
|              1|       -104.246|              0|       -227.698|
|            1.5|       -104.246|              0|       -227.687|
|              2|       -104.246|              0|       -227.671|
|           2.75|       -104.246|              0|       -227.639|
|            3.5|       -104.246|              0|       -227.597|
|           4.25|       -104.246|              0|       -227.545|
|              5|       -104.246|              0|       -227.483|
|        7.65148|       -104.246|              0|       -227.185|
|        10.8333|       -104.246|              0|       -226.663|
|        14.6514|       -104.246|              0|       -225.805|
|        19.2332|       -104.246|              0|       -224.452|
|        24.7313|       -104.246|              0|       -222.379|
|         31.329|       -104.246|              0|       -219.285|
|        39.2463|       -104.246|              0|       -214.779|
|         48.747|       -104.246|              0|       -208.383|
|        60.1479|       -104.246|              0|       -199.563|
|         73.829|       -104.246|              0|       -187.789|
|        90.2463|       -104.246|              0|       -172.638|
|        109.947|       -104.246|              0|       -153.889|
|        133.588|       -104.246|              0|       -131.585|
|        161.957|       -104.246|              0|        -106.01|
|            196|       -104.246|              0|       -77.6033|
|        236.851|       -104.246|              0|       -46.8214|
|        285.873|       -104.246|              0|       -13.9963|
|        344.699|       -104.246|              0|        20.8429|
|         415.29|       -104.246|              0|        58.2584|
|            500|       -104.246|              0|            100|
|           -500|       -83.2423|              0|            100|
|       -399.845|       -83.2423|              0|         49.005|
|       -319.722|       -83.2423|              0|        3.68281|
|       -255.623|       -83.2423|              0|       -38.5913|
|       -204.343|       -83.2423|              0|       -78.4454|
|        -163.32|       -83.2423|              0|       -115.629|
|       -130.501|       -83.2423|              0|       -149.478|
|       -104.246|       -83.2423|              0|       -179.205|
|       -83.2423|       -83.2423|              0|       -204.162|
|       -66.4392|       -83.2423|              0|       -224.089|
|       -52.9966|       -83.2423|              0|       -239.215|
|       -42.2426|       -83.2423|              0|       -250.182|
|       -33.6394|       -83.2423|              0|       -257.836|
|       -26.7568|       -83.2423|              0|       -263.023|
|       -21.2507|       -83.2423|              0|       -266.461|
|       -16.8459|       -83.2423|              0|       -268.703|
|        -13.322|       -83.2423|              0|        -270.15|
|       -10.5029|       -83.2423|              0|       -271.074|
|       -8.24761|       -83.2423|              0|        -271.66|
|       -6.44338|       -83.2423|              0|       -272.029|
|             -5|       -83.2423|              0|        -272.26|
|          -4.25|       -83.2423|              0|       -272.357|
|           -3.5|       -83.2423|              0|       -272.438|
|          -2.75|       -83.2423|              0|       -272.504|
|             -2|       -83.2423|              0|       -272.554|
|           -1.5|       -83.2423|              0|       -272.578|
|             -1|       -83.2423|              0|       -272.596|
|           -0.5|       -83.2423|              0|       -272.606|
|              0|       -83.2423|              0|        -272.61|
|            0.5|       -83.2423|              0|       -272.606|
|              1|       -83.2423|              0|       -272.596|
|            1.5|       -83.2423|              0|       -272.578|
|              2|       -83.2423|              0|       -272.554|
|           2.75|       -83.2423|              0|       -272.504|
|            3.5|       -83.2423|              0|       -272.438|
|           4.25|       -83.2423|              0|       -272.357|
|              5|       -83.2423|              0|        -272.26|
|        7.65148|       -83.2423|              0|       -271.792|
|        10.8333|       -83.2423|              0|       -270.977|
|        14.6514|       -83.2423|              0|       -269.642|
|        19.2332|       -83.2423|              0|       -267.547|
|        24.7313|       -83.2423|              0|       -264.366|
|         31.329|       -83.2423|              0|        -259.68|
|        39.2463|       -83.2423|              0|       -252.979|
|         48.747|       -83.2423|              0|       -243.702|
|        60.1479|       -83.2423|              0|        -231.31|
|         73.829|       -83.2423|              0|       -215.394|
|        90.2463|       -83.2423|              0|       -195.782|
|        109.947|       -83.2423|              0|       -172.583|
|        133.588|       -83.2423|              0|       -146.154|
|        161.957|       -83.2423|              0|       -116.997|
|            196|       -83.2423|              0|       -85.6353|
|        236.851|       -83.2423|              0|       -52.5033|
|        285.873|       -83.2423|              0|       -17.8382|
|        344.699|       -83.2423|              0|         18.459|
|         415.29|       -83.2423|              0|        57.0956|
|            500|       -83.2423|              0|            100|
|           -500|       -66.4392|              0|            100|
|       -399.845|       -66.4392|              0|        48.0962|
|       -319.722|       -66.4392|              0|        1.76218|
|       -255.623|       -66.4392|              0|       -41.8327|
|       -204.343|       -66.4392|              0|       -83.5068|
|        -163.32|       -66.4392|              0|       -123.196|
|       -130.501|       -66.4392|              0|        -160.38|
|       -104.246|       -66.4392|              0|       -194.288|
|       -83.2423|       -66.4392|              0|       -224.089|
|       -66.4392|       -66.4392|              0|       -249.117|
|       -52.9966|       -66.4392|              0|       -269.099|
|       -42.2426|       -66.4392|              0|       -284.263|
|       -33.6394|       -66.4392|              0|        -295.25|
|       -26.7568|       -66.4392|              0|       -302.911|
|       -21.2507|       -66.4392|              0|       -308.094|
|       -16.8459|       -66.4392|              0|       -311.525|
|        -13.322|       -66.4392|              0|       -313.758|
|       -10.5029|       -66.4392|              0|       -315.194|
|       -8.24761|       -66.4392|              0|       -316.108|
|       -6.44338|       -66.4392|              0|       -316.685|
|             -5|       -66.4392|              0|       -317.046|
|          -4.25|       -66.4392|              0|       -317.199|
|           -3.5|       -66.4392|              0|       -317.326|
|          -2.75|       -66.4392|              0|       -317.429|
|             -2|       -66.4392|              0|       -317.508|
|           -1.5|       -66.4392|              0|       -317.546|
|             -1|       -66.4392|              0|       -317.574|
|           -0.5|       -66.4392|              0|        -317.59|
|              0|       -66.4392|              0|       -317.596|
|            0.5|       -66.4392|              0|       -317.591|
|              1|       -66.4392|              0|       -317.574|
|            1.5|       -66.4392|              0|       -317.547|
|              2|       -66.4392|              0|       -317.508|
|           2.75|       -66.4392|              0|        -317.43|
|            3.5|       -66.4392|              0|       -317.327|
|           4.25|       -66.4392|              0|       -317.199|
|              5|       -66.4392|              0|       -317.047|
|        7.65148|       -66.4392|              0|       -316.315|
|        10.8333|       -66.4392|              0|       -315.044|
|        14.6514|       -66.4392|              0|       -312.974|
|        19.2332|       -66.4392|              0|       -309.755|
|        24.7313|       -66.4392|              0|       -304.931|
|         31.329|       -66.4392|              0|       -297.958|
|        39.2463|       -66.4392|              0|       -288.243|
|         48.747|       -66.4392|              0|       -275.235|
|        60.1479|       -66.4392|              0|       -258.544|
|         73.829|       -66.4392|              0|       -238.049|
|        90.2463|       -66.4392|              0|       -213.934|
|        109.947|       -66.4392|              0|       -186.629|
|        133.588|       -66.4392|              0|       -156.694|
|        161.957|       -66.4392|              0|       -124.699|
|            196|       -66.4392|              0|       -91.1292|
|        236.851|       -66.4392|              0|       -56.3184|
|        285.873|       -66.4392|              0|       -20.3837|
|        344.699|       -66.4392|              0|        16.8939|
|         415.29|       -66.4392|              0|        56.3364|
|            500|       -66.4392|              0|            100|
|           -500|       -52.9966|              0|            100|
|       -399.845|       -52.9966|              0|        47.5076|
|       -319.722|       -52.9966|              0|       0.511883|
|       -255.623|       -52.9966|              0|       -43.9618|
|       -204.343|       -52.9966|              0|       -86.8775|
|        -163.32|       -52.9966|              0|       -128.338|
|       -130.501|       -52.9966|              0|           -168|
|       -104.246|       -52.9966|              0|        -205.23|
|       -83.2423|       -52.9966|              0|       -239.215|
|       -66.4392|       -52.9966|              0|       -269.099|
|       -52.9966|       -52.9966|              0|       -294.205|
